plot_project,alti,slope,X,Y,northness,eastness,soil_veg,soil_Rtot,soil_blocks,HG,LVM,LVU,LRF,HG_count,LVM_count,LVU_count,LRF_count,hcan,hcan_sd,hveg,nPFG,hill2,Ldensity,isForest,isGrassland,Moyenne,Médiane,Écart-type,Min,Max,Quantile 5%,Quantile 95%,Quantile 25%,Quantile 75%,Moyenne_all,Médiane_all,Écart-type_all,Min_all,Max_all,Quantile 5%_all,Quantile 95%_all,Quantile 25%_all,Quantile 75%_all
LORIAZ_48,1923,6.09147800207978,6.91025,46.03584,0.475987930130947,0.879451812420474,0.5875,0.25,0.25,0.170588235294118,0.170588235294118,0.252941176470588,0.105882352941176,29,29,43,18,24.85,17.39642040875,26.8648648648649,6,5.56197074672825,111,0,0,0.2897712579885024,0.22375873863541074,0.216193016292164,0.1194773175636783,1.0520716510905004,0.14001539474649008,0.6701035825546117,0.1825965752835259,0.28510537313832174,0.32311497539657696,0.25007692302256146,0.23730792966012268,0.0,1.2000000000000455,0.13705583351872974,0.8844999999998888,0.18223547584670996,0.34975369693654557
LORIAZ_CAMTRAP_2100,2188,24.4341340472712,6.91412,46.04327,0.981358295896955,0.192187135558614,0.925,0.025,0.025,0.174311926605505,0.192660550458716,0.252293577981651,0.0091743119266055,38,42,55,2,22.675,13.4397624677623,23.2564102564103,8,5.87005928853755,165,0,0,0.37189125637964937,0.14927971874931245,0.4813603825084057,0.0,1.6300000000001091,0.0,1.573378486014599,0.10264054818617296,0.4109596246663614,0.21630422054491646,0.1440742552181291,0.24898950701250025,0.0,1.6300000000001091,0.06858812541543102,0.6084999999999122,0.11761115935303224,0.18877669232369954
LORIAZ_CAMTRAP_1600_OUEST,1641,28.6615473128016,6.91387,46.02838,-0.277998403615656,-0.960581536147321,0.4625,0.0125,0.0125,0.0769230769230769,0.292307692307692,0.0,0.0,5,19,0,0,11.0375,15.3222298588718,13.796875,5,2.21320062860136,58,1,0,16.62090494987774,19.28072514941107,5.334251090621445,3.363476151789655,22.720000000000027,9.328804577040229,22.463500000000046,12.611251950607596,20.60192428585384,16.53685991004775,17.48872311168725,4.889961139766845,0.2699999999999818,24.91263502422953,8.518686569419504,22.76050000000002,13.734848087883506,20.00297316425798
LORIAZ_CAMTRAP_2300_OUEST,2350,17.6906540156376,6.89917,46.04487,-0.994951263726914,0.100359268671192,0.6875,0.15,0.15,0.572727272727273,0.0,0.009090909090909,0.0,63,0,1,0,6.7125,5.87247117672952,8.01492537313433,3,1.98816956950378,1,0,1,0.2942581053314598,0.11227463210707356,0.6149330571829006,0.0,2.650000000000091,0.0,1.216339116909627,0.0,0.2363858396689693,0.15370284539283147,0.10531630385094104,0.30698422562729133,0.0,2.650000000000091,0.0,0.4320000000002664,0.0,0.15998997323151798
LORIAZ_18,2329,23.2752779842308,6.90008,46.04529,-0.996087835141185,0.0883686861040014,0.6625,0.1875,0.175,0.542372881355932,0.0423728813559322,0.0084745762711864,0.0,64,5,1,0,7.7,5.62633950295675,9.33333333333333,4,2.16682228446934,6,0,1,0.1394609719707205,0.054202626655751374,0.27566086842470683,0.0,1.2399999999997817,0.0,0.3268292928937178,0.0,0.15299192052054877,0.16332207381593433,0.13525696118290398,0.21295304031042964,0.0,1.2399999999997817,0.0,0.5755820115300591,0.0,0.1942946663245948
LORIAZ_31,2012,34.1594692178793,6.90211,46.03979,0.453656613227466,-0.891176569078757,0.8,0.175,0.175,0.171717171717172,0.217171717171717,0.196969696969697,0.247474747474747,34,43,39,49,41.8,21.2652923381704,45.1891891891892,9,5.17886393659181,136,0,0,0.2380719747311673,0.23613330562022838,0.11308264216159362,0.0,0.4609259259113969,0.0,0.40912006676762763,0.19230866226831722,0.3065661102336321,0.2775595768649805,0.2599433052365612,0.14828209069375867,0.0,1.2043925232803758,0.12536148653360898,0.4613796296158284,0.20371628605471415,0.32209756139155843
ECOTONE_2400,2418,26.1948367024652,6.8976,46.04604,-0.997617646325367,0.068985735773676,0.1375,0.7875,0.575,0.541666666666667,0.0208333333333333,0.0,0.0,26,1,0,0,3.9,5.3947935519679,8.21052631578947,3,2.0608228980322,1,0,1,0.008254347824140496,0.0,0.036914565689411254,0.0,0.1650869564828099,0.0,0.008254347824140612,0.0,0.0,0.0016508695648280991,0.0,0.01650869564828099,0.0,0.1650869564828099,0.0,0.0,0.0,0.0
LORIAZ_47,1938,4.49514856614349,6.90876,46.03608,-0.869439195805863,0.494039962752462,0.8875,0.0375,0.0375,0.604651162790698,0.0,0.0,0.0,78,0,0,0,9.8125,4.51465616112286,9.8125,2,1.9160621761658,0,0,1,0.011420263632965088,0.0,0.035171505348441226,0.0,0.11791916163406313,0.0,0.11085776355567988,0.0,0.0,0.020673739286166892,0.0,0.07542247902546687,0.0,0.6481818179972834,0.0,0.1303349561815139,0.0,0.0
LORIAZ_57,1931,5.72043313097563,6.90887,46.034,0.52532198881773,0.850903524534118,0.7375,0.0875,0.0875,0.191616766467066,0.0898203592814371,0.263473053892216,0.137724550898204,32,15,44,23,20.8125,11.6228645786079,21.3461538461538,8,5.79692371648306,112,0,0,0.5839700757923196,0.26029274073084707,0.9139986820346919,0.1283147321623801,3.849999999999909,0.1361684637877943,2.472499999999867,0.21201678856562012,0.4374999999998863,0.7836107969994237,0.26638320062488674,1.4177969642267463,0.07982758621892572,6.94013688000814,0.12796575691951376,3.8589372469637278,0.1936868389464621,0.5099999999999909
LORIAZ_CAMTRAP_1919_OUEST,1926,19.3102874087455,6.91106,46.03248,0.0493077112177959,-0.998783635035368,0.95,0.0125,0.0125,0.153508771929825,0.100877192982456,0.223684210526316,0.0175438596491228,35,23,51,4,26.8,12.6445064871587,26.8,10,6.71454404546629,155,0,0,1.4981737089443867,0.3215178572805826,1.7670323182330816,0.15757575769043797,4.8599999999999,0.17421170561522104,4.7744999999999775,0.21679884961145035,3.082499999999982,1.784410404616185,0.3520240621274979,2.193820996466987,0.1273394495269713,8.259582268342228,0.1744740369573151,5.904999999999881,0.2229206718535579,3.474999999999966
